Batch 1: nougat, decisions, horse, indicate, newspapers, boundary, google, praising
Batch 2: crosses, classified, managers, aborted, try, confusing, bridges, avon
Batch 3: franz, curriculum, bomb, blinded, noticing, pronounced, controls, absolutely
Batch 4: mozzarella, kidnapping, fringes, roof, implement, flame, clyde, christ
Batch 5: teaches, smith, demonstrating, associate, euros, parades, supermarket, producing
Batch 6: coordinator, sponge, august, flirting, puppy, killing, augustus, syringe
Batch 7: toy, poor, contrast, protects, observer, followers, venue, inquiry
Batch 8: shakily, lesbian, muscles, dumplings, translate, sensor, accomplish, lucky
Batch 9: firewalls, chapters, embargo, explain, neural, mercenary, tidal, sucker
Batch 10: prominent, promote, camps, municipality, beacon, only, fashionable, retailers
Batch 11: humble, mouse, counsel, hoping, banquet, memorize, what, charities
Batch 12: argued, latency, laughed, anybody, pharaoh, poke, bill, debra
Batch 13: luxembourg, opportunity, fuck, feud, examine, briefly, implode, channels
Batch 14: circle, offense, sand, reins, discloses, increases, podium, sobered
Batch 15: proverbs, objective, algorithm, catalogue, possess, tranquil, penn, techniques
Batch 16: details, singh, rico, refuses, filling, coconut, conveyed, piercing
Batch 17: stole, tended, logs, planned, iceberg, nominated, oyster, grandparents
Batch 18: directly, bullets, sections, automobile, breathed, kinda, declined, holland
Batch 19: genetic, acronym, deficits, ornamental, bathing, lebanon, intended, observers
Batch 20: tent, substance, digit, rendered, coloured, handed, performed, cocaine
Batch 21: observations, nicknamed, trigonometric, leaned, television, ellis, election, iraq
Batch 22: physician, handy, diameter, conclusive, evangelical, jury, compression, compliments
Batch 23: propose, shade, defeated, chewing, broken, trash, potentially, advertising
Batch 24: catalog, platform, falcon, backup, critical, cry, sums, drivers
Batch 25: mixing, knock, hundreds, texas, sailors, investigated, defence, parts
Batch 26: walnut, men, executive, continues, tugged, victory, unhurried, reading
Batch 27: font, bar, yummy, sheriff, originate, korean, solicitor, tourists
Batch 28: later, relaxed, cement, websites, dams, formula, grandchildren, fame
Batch 29: parliamentary, explanation, lunatic, major, walsh, steps, expecting, bearded
Batch 30: bad, applied, doe, bigger, cameo, gypsy, described, principal
Batch 31: ecuador, palpable, approximately, youngest, simply, sterling, encoding, its
Batch 32: williamson, struck, handkerchief, foreigner, advocates, medals, sketch, anatomy
Batch 33: summons, fed, groceries, amazingly, extends, choosing, limitations, this
Batch 34: tournaments, warmth, salisbury, magical, roundabout, affirmative, amazing, pubs
Batch 35: politician, asian, food, easy, sequence, prefers, allan, minister
Batch 36: distinct, subtle, aden, right, painting, overthink, kindness, ignore
Batch 37: hayes, piercings, roaming, potassium, validation, speakers, realistic, viciously
Batch 38: ourselves, expertly, boxes, duncan, donkey, reopened, topics, airline
Batch 39: stuff, polish, counter, strategy, khan, zebras, protection, twenties
Batch 40: rose, formal, seeks, agility, beige, patrons, head, dubious
Batch 41: lara, imported, salmon, clarify, escaping, canoe, reforms, assessment
Batch 42: london, cavalry, chromium, inexhaustible, irrational, tried, policy, hut
Batch 43: edinburgh, mince, sustainable, mister, mohammad, originated, reduces, rescued
Batch 44: mushrooms, sort, taking, punk, accounts, half, assassination, facts
Batch 45: geneva, returns, token, providence, score, advice, gordon, lots
Batch 46: slang, butt, predicts, anne, snake, loneliness, clowns, wither
Batch 47: trade, amsterdam, adopt, integrated, north, curve, inventor, armed
Batch 48: snagged, paramount, tropics, uruguay, tolerated, bluntly, roughly, neat
Batch 49: reeds, strokes, weed, getting, discussions, uncommon, congress, nodes
Batch 50: woman, pleaded, charges, notable, mayonnaise, ban, fetch, freshwater
Batch 51: venus, reviewers, philadelphia, publications, greenwich, cellular, reacted, crackers
Batch 52: doll, operators, freeze, stopping, classes, joint, competitions, turns
Batch 53: lid, disputed, improved, hired, visits, murmur, pete, refer
Batch 54: adams, transfers, egg, hilarious, fertilizer, mode, give, lone
Batch 55: chains, justice, players, honeymoon, tracker, founded, reporting, rewarded
