Batch 1: wakey, broad, finished, presbyterian, mere, lighted, blades, pressed
Batch 2: initiative, dearest, reelected, social, gentry, eager, trackers, hike
Batch 3: chaplain, sometime, overnight, monolith, crash, acquired, finale, register
Batch 4: markings, rounded, spotify, wholly, contend, champ, optimism, presentations
Batch 5: sock, drilling, dealers, impulsive, avoiding, speakers, napkin, skid
Batch 6: trenton, limousine, uncontrollably, elastics, pluto, riches, remnants, staff
Batch 7: seedless, proximity, chennai, toyota, minsk, crete, aisle, lent
Batch 8: elaine, ludicrous, oversized, trinity, mons, houghton, potential, embedded
Batch 9: overs, locke, josiah, boris, procedural, lost, beef, stresses
Batch 10: milan, wilkinson, baptist, shale, relative, recreated, recall, pores
Batch 11: also, repression, sigma, soundtracks, smoke, kindness, corrosive, supervised
Batch 12: decreasing, barn, nails, whistles, avail, fork, clenched, bloc
Batch 13: descends, walters, touchscreens, essential, costly, grades, grandfather, treatments
Batch 14: clinch, questions, newborn, colour, ancient, interactions, smart, wooster
Batch 15: you’ll, forecasting, budgies, nabbed, cinnamon, pancakes, index, mandela
Batch 16: nicking, draw, windy, ultimate, sally, onward, haystack, aspect
Batch 17: crime, functions, inuit, else, wreckage, sparkled, bearded, dragged
Batch 18: tuning, boom, inhabits, windsor, cancellation, apprenticed, successors, clowns
Batch 19: spain, security, romano, gloucestershire, cyclones, capita, laser, units
Batch 20: cartoons, franciscan, dressing, waking, ticked, breakfast, resultant, animated
Batch 21: overflow, sided, noticeably, lesbian, extract, beginnings, tabitha, scrambled
Batch 22: hormone, reveals, unreleased, ear, ninth, complexes, municipalities, shame
Batch 23: faded, pleaded, surviving, cabinet, crisps, grounds, goat, wisest
Batch 24: tank, revolution, entrepreneurs, mist, scarecrow, disappointed, went, monorail
Batch 25: honey, shoe, writings, spam, commonly, aliens, merrimack, shady
Batch 26: circumstances, demanding, impressed, buns, invertebrates, subsection, selma, seminary
Batch 27: clarify, dimly, proteins, horror, catholicism, text, thinner, reckless
Batch 28: enthusiasm, typewriter, upright, alchemists, powell, nickelodeon, speculate, dunk
Batch 29: trail, warnings, skirmishes, rhythmic, coats, itchy, lowrider, readable
Batch 30: she, bourbon, imam, paragraphs, pouring, awe, technical, quinn
Batch 31: touching, mammal, microsoft, faults, sneaked, vacated, jasper, tearful
Batch 32: skies, goddesses, oaths, undertook, badger, macintosh, seizure, stamina
Batch 33: invasive, stunned, raid, fisher, kinds, pyramids, stated, christina
Batch 34: homestead, carson, happily, help, declined, ufo, representing, rains
Batch 35: marxist, paddington, halle, lacey, triplet, minus, abduction, rebranded
Batch 36: oblique, bulgarian, duplicate, premiered, goldwyn, ada, conventions, hanaud
Batch 37: patterns, nourish, explicit, synonym, dallas, sacks, devil, falcons
Batch 38: rockets, adjustments, education, constants, adviser, additive, being, glossy
Batch 39: velocity, bookcase, motifs, torah, previous, basics, chipped, henri
Batch 40: looks, cambridge, flattery, experimental, unsay, railways, henry, incorporates
Batch 41: retina, arlington, mirror, tweed, tree, andre, russian, stalk
